,Phrase,Meaning,Is This Accurate?,aand,chutiye,idiot,(10%) (0%)
573,,,,,Muth maar,,
574,,,,,Parichod,,
575,,,,,Phatele Nirodh ke Natije,,
576,,,,,Pucchi,,
577,,,,,Raandi baajer,,
578,,,,,Rundi ko choud,,
579,,,,,Rubber bhosda,,
580,,,,,Sadi hui gand,,
581,,,,,Tera adha Nirodh mein rah gaya,,
582,,,,,Hindi Obscene Words,,
583,,,,,Apna land choos,,
584,,,,,Apni gaand mein muthi daal,,
585,,,,,Apni ma ko ja choos,,
586,,,,,Chinaal ke gadde ke nipple ke baal ke joon,,
587,,,,,Chullu bhar muth mein doob mar,,
588,,,,,Gand Ka Khatmal,,
589,,,,,Gandkate Kutte,,
590,,,,,Gaand mein bambu,,
591,,,,,Gaand main lassan,,
592,,,,,Gaand main danda,,
593,,,,,Gaand main keera,,
594,,,,,Hazaar lund teri gaand main,,
595,,,,,Jaa Apni Bajaa,,
596,,,,,Jab tu paida hua tow aagey se ya peechey se nikla tha chutiya?,,
597,,,,,Kahe ko kha raha hai chut ki chapati aur lund ka beja?,,
598,,,,,Kali Choot Ke Safaid Jhaat,,
599,,,,,"Kutte ke poot, teri maa ki choot",,
600,,,,,"Lo, mera lund anpi behen ko de do, agar khud na chod paya",,
601,,,,,Lund Chus,,
602,,,,,Ma chudi,,
603,,,,,Mein teri maa ko teri bahen ki choot mein chodoonga aur tera baap laltern lekar aayega.,,
604,,,,,Mein teri maa ko liya tha uski suhaag raat pei.,,
605,,,,,Mera chunni choos,,
606,,,,,Meri lund choos,,
607,,,,,Mere Chuus Maro,,
608,,,,,"Na choot, na chooche, nakhre noor jahan ke!",,
609,,,,,Raand ka pati,,
610,,,,,Rundi ko chod,,
611,,,,,Rundi ki tatti pe baithnewaali makkhi,,
612,,,,,Rundi ke tatti pe biathne wala makhi,,
613,,,,,Terey baad di gaand wich danda ghussa ker rakh dhungi.,,
614,,,,,Teri behen ka launda rubber ka ,,
615,,,,,Theri Biwi ko Tere Saamne Chodhunga,,
616,,,,,Teri Gand Mein Haathi Ka Lund,,
617,,,,,Teri gaand main kute ka lund,,
618,,,,,Tere gaand mein keede paday,,
619,,,,,Teri Jhanten Kaat kar tere mooh par laga kar unki french beard bana doonga.,,
620,,,,,Teri ma gandi rundi,,
621,,,,,Teri ma gadha ka lund choosay,,
622,,,,,Teri maa ki bimaar badboodar choot,,
623,,,,,Teri ma ki choot me hathi ka dum,,
624,,,,,Teri ma ki chut mai sabka lund,,
625,,,,,Teri maa ki phudi guy ki hai,,
626,,,,,Teri maa ka bhosda,,
627,,,,,Teri maa ki chute,,
628,,,,,Tere mai ki chut tere baap ka land,,
629,,,,,Teri mi di kussi mey tera sarra khandan ko ghussa ker rakh doonga.,,
630,,,,,"Teri maa ki gaand ki baal mein jalaay hue, maarey hue chipkili ki unday.",,
631,,,,,Teri ma ki budh mein chaarpai bichhake teri bahen ko chodun.,,
632,,,,,Teri maa ki chut mein chatri leke ghus jaunga aur khol dunga.,,
633,,,,,Tere maa ko sau kutte chode - sau wa tera baap!,,
634,,,,,Tor mai ke chodho,,
635,Bewarsi,Bastard,(10%) (0%),,,,
636,Mukli muchkondu kutko,Cover your ass and shut the fuck up,(10%) (0%),,,,
637,Mukli tuth,Asshole,(0%) (0%),,,,
638,Rande,Bitch,(10%) (3%),,,,
639,Randi magane,Son of a whore,(10%) (0%),,,,
640,Saak thika muchappa,Shut the fuck up,(10%) (0%),,,,
641,shraddha,whore,(7%) (33%),,,,
642,Soole Maga,Son of a whore,(10%) (0%),,,,
643,Tulla,Pussy,(10%) (0%),,,,
644,Aab,Water,(9%) (7%),,,,
645,baaz akh de,give me one fuck,(1%) (1%),,,,
646,babba aasus manz choosni,sucking boobs,(1%) (1%),,,,
647,babbe kache chatai,i will cut ur bra,(9%) (6%),,,,
648,bablyaath,boob fuck,(9%) (5%),,,,
649,be lakhay beni,fuck your sister,(10%) (1%),,,,
650,beni gooud,sisters cunt,(10%) (2%),,,,
651,Beni lakhai,i will fuck your sister,(1%) (0%),,,,
652,beyani goood,sisters pussy,(9%) (7%),,,,
653,bh lakhai che,i will fuck you,(10%) (0%),,,,
654,Brahman chaenk,Virgin pussy,(8%) (23%),,,,
655,Chaaan,Carpenter,(0%) (0%),,,,
656,chakij,ass,(10%) (0%),,,,
657,chakjeh goud,asshole,(9%) (13%),,,,
658,Chapin,Sandal,(0%) (0%),,,,
659,che chui mazze lakhnas,You are so delicious while Fucking,(10%) (3%),,,,
660,Choti travi marchevangan,I will put chilly in Ur ass,(9%) (9%),,,,
661,Chotul,Asshole,(9%) (9%),,,,
662,chwath,ass,(10%) (2%),,,,
663,Dagaddalli maa de bacheio,Prostitute son,(0%) (100%),,,,
664,Dawa woal,Drugist,(10%) (0%),,,,
665,diyanawaan,getting Fucked,(10%) (0%),,,,
666,duniyah che khap,this world is waste,(0%) (100%),,,,
667,Fhalaan,Dick,(0%) (0%),,,,
668,fis,small dick,(10%) (0%),,,,
669,Gaan,Pervert and pimp,(0%) (0%),,,,
670,gaani bach,illegal son/daughter,(10%) (0%),,,,
671,Gees,Shit or poo,(10%) (0%),,,,
672,ghain,whore,(10%) (0%),,,,
673,Gooid prah,Thirsty for sex,(0%) (0%),,,,
674,Goudi Sawaer,"Humping, Pussy riding",(0%) (0%),,,,
675,guude,pussy,(0%) (0%),,,,
676,Ha kole madarchoda,Hey you motherfucker,(10%) (0%),,,,
677,Hahra,My wife brother,(0%) (0%),,,,
678,haramuk,Bastard,(10%) (0%),,,,
679,Hasna,Big Dick,(0%) (100%),,,,
680,Haspataal,Hospital,(0%) (0%),,,,
681,houn goudiuk,dog's asshole,(0%) (100%),,,,
682,kani jung,stone pelting,(0%) (0%),,,,
683,Khade daez,Woman with burnt vulva,(0%) (0%),,,,
684,khape chraethe,to fucking,(0%) (0%),,,,
685,khapkhap,fucking,(0%) (0%),,,,
686,Kucher,Dick,(10%) (0%),,,,
687,laith,cock,(10%) (0%),,,,
688,langan dimay darith,i will fuck your legs,(0%) (100%),,,,
689,lazmai bene,fuck your sister,(9%) (13%),,,,
690,lazmai goudis,fuck your pussy,(10%) (2%),,,,
691,Lazmaiye Mael Sinze Kori,Fuck your fathers daughter,(10%) (4%),,,,
692,Lazmayi babbun,I Fuck ur boobs,(10%) (2%),,,,
693,lazmie lyath,fuck you with my penis,(8%) (17%),,,,
694,Lechmayaa benzi,I'll fuck your niece,(0%) (0%),,,,
695,Lezmaye Lyaath,Fuck You,(9%) (5%),,,,
696,liyath chani goodis,put my dick in your pussy,(9%) (14%),,,,
697,lyaath,long dick,(10%) (3%),,,,
698,lyath kal,dick head,(0%) (0%),,,,
699,lyathee kale,dickhead,(9%) (13%),,,,
700,Lyathh,Dick,(0%) (100%),,,,
701,Ma lakh goudis,Fuck my pussy,(10%) (2%),,,,
702,maaji gooud,sisters cunt,(1%) (7%),,,,
703,maaji lakhai,i will fuck your mother,(10%) (0%),,,,
704,maeji guudh,mother's pusseehh,(0%) (100%),,,,
705,maeji lyaath,mother's dick,(9%) (7%),,,,
706,maelis lakhai,i will fuck your father,(8%) (17%),,,,
707,mambre kalle,penis head,(9%) (9%),,,,
708,Meethir,Pee or urine,(0%) (0%),,,,
709,Momri Kalle,Dickhead,(10%) (0%),,,,
710,MUAMD,very big dick,(1%) (2%),,,,
711,Mumer,Penis,(0%) (0%),,,,
712,Mye kya zok kadkhe,you can't even pluck my pubic hair,(9%) (9%),,,,
713,Naer,Arm,(0%) (100%),,,,
714,Pael,Nuts,(0%) (100%),,,,
715,phutyaa poon,your asshole will crack up,(0%) (100%),,,,
716,ponas lakhai,i will fuck your asshole,(8%) (17%),,,,
717,ponas manz chu chout kieom,you have got insect in your asshole,(9%) (5%),,,,
718,Ponne Tecczh,Underwear,(9%) (9%),,,,
719,Poon,Anus,(9%) (9%),,,,
720,poonus lakhai,fuck you from behind,(10%) (1%),,,,
721,rath mein lyath,suck my penis,(8%) (17%),,,,
722,sa here tok mi haijla,stupid bitch,(10%) (0%),,,,
723,Sabzi woal,Grocer,(0%) (0%),,,,
724,Seel tuluai,I'll Break your hymen,(10%) (0%),,,,
725,seous good,with small penis,(0%) (0%),,,,
726,Siiech,Tailor,(0%) (0%),,,,
727,Sous,Small asshole,(0%) (100%),,,,
728,Taech,Toilet,(0%) (0%),,,,
729,tche che baji bab,you have big tits,(10%) (0%),,,,
730,thapi karani,Fucking,(7%) (26%),,,,
731,Watul,Sweeper,(0%) (0%),,,,
732,Zakal ponz,Monkey with public hair,(10%) (0%),,,,
733,Zang,Legs,(0%) (0%),,,,
734,Zinhook,Illegal son,(0%) (0%),,,,
735,zoake goodh,Hairy passy,(0%) (0%),,,,
736,zok,pubic hair,(10%) (4%),,,,
737,zokke poan,hairy asshole,(10%) (0%),,,,
738,Zokkk,Pubic hair,(10%) (0%),,,,
739,Gandah kullah pudha,Big dirty pussy,(9%) (9%),,,,
740,Gandhu,Gay,(0%) (100%),,,,
741,Gandhu bastar,Gay bastad,(0%) (0%),,,,
742,Hanzeer da puthar,Son of a donkey,(9%) (9%),,,,
743,Jannay na puthar,Son of a man,(0%) (0%),,,,
744,Kalayah,Blacky,(10%) (0%),,,,
745,Khotah,Donkey,(0%) (0%),,,,
746,Khotay da puthar,Son of a donkey,(0%) (100%),,,,
747,Kuttah,Dog,(0%) (0%),,,,
748,Kuttay na puthar,Son of a dog,(0%) (0%),,,,
749,Kutthi,Bitch,(0%) (0%),,,,
750,Lan choop,Suck dick,(0%) (0%),,,,
751,Lofar,Street thug,(0%) (0%),,,,
752,Mammay,Tits,(0%) (0%),,,,
753,May thara pudha marsah,I'm gonna fuck your pussy,(0%) (0%),,,,
754,Nikki lan,Small dick,(0%) (0%),,,,
755,Pahari ki aulad,Sons of the mountains,(0%) (0%),,,,
756,Pudhu goray,Pussy white people,(10%) (0%),,,,
757,Randi na puthar,Son of a whore,(10%) (5%),,,,
758,Yadeenah,Fucker,(10%) (0%),,,,
759,amaa fui,mothers pussy,(10%) (3%),,,,
760,Amaa fui,pussy of mother,(10%) (0%),,,,
761,Amaa handhaan kurey,Remember your mom,(8%) (17%),,,,
762,amaa thalhaa,mother fucker,(0%) (100%),,,,
763,Badi,A girl who sleeps with many boys,(10%) (4%),,,,
764,Buri Loa valhu,Ass hole,(10%) (3%),,,,
765,Fada boe,drinking womens cum,(0%) (0%),,,,
766,Fada boey,Drink Mother's cum,(9%) (15%),,,,
767,Fada Thiki,Cum drop,(10%) (0%),,,,
768,Fatha folhi,Pussy,(10%) (0%),,,,
769,magey foah boe,suck my dick,(10%) (2%),,,,
770,mani boe,drinking cum,(10%) (3%),,,,
771,Nagoo balhu,Dog,(0%) (100%),,,,
772,nagoobalhu,bitch,(10%) (0%),,,,
773,"""Ninde ama, pati!""","Your mom, bitch!",(0%) (0%),,,,
774,Aaana kunna,Big dick,(1%) (0%),,,,
775,aan-vedi,man whore,(1%) (1%),,,,
776,achante andi,dads dick,(10%) (2%),,,,
777,Achinga Kunnan,A man with his dick like a beans,(1%) (0%),,,,
778,adichu poli,enjoy by fucking,(0%) (2%),,,,
779,Ajoli ka Thajoli,Transexual,(1%) (2%),,,,
780,ammaudi pootil poocha,cat in your mothers cunt,(1%) (2%),,,,
781,amminhnha,boobs,(9%) (7%),,,,
782,Andi pidiyan,Dick catcher,(10%) (5%),,,,
783,anna kunna,big dick,(1%) (1%),,,,
784,appikunna,dirty penis,(1%) (5%),,,,
785,arraykku chuttum poorruu ullaval,lady having pussy around waist,(10%) (1%),,,,
786,avaraathi,a man who like to fuck anywhere,(1%) (1%),,,,
787,avarathi mone,mothers dick fucker,(1%) (2%),,,,
788,chalam nakki,puss licker,(1%) (1%),,,,
789,Chandi,Ass,(10%) (1%),,,,
790,Chokka lingam,Sabeel,(1%) (2%),,,,
791,coondi,bum,(1%) (0%),,,,
792,Da patti,you dog / you bitch,(10%) (0%),,,,
793,eli kunna,small dick,(7%) (29%),,,,
794,Ettukali Patti Pooran,Spider Pussy Bitch,(10%) (0%),,,,
795,inchi mola,young hard boobs,(10%) (0%),,,,
796,johninte andi,small shrivelled black balls,(1%) (3%),,,,
797,kaatu poori,women with forest pussy,(10%) (1%),,,,
798,kallel oouuki,stone fucker,(7%) (26%),,,,
799,kandara oli,whore,(1%) (1%),,,,
800,kandi,shit,(10%) (2%),,,,
801,kandi theeni,a person who eats shit,(10%) (0%),,,,
802,Kandu,Girls pussy,(9%) (14%),,,,
803,Kanni,Virgin,(9%) (13%),,,,
804,Kanni mola,First breast,(0%) (0%),,,,
805,kara vedi,local area prostitute,(9%) (9%),,,,
806,karim kunna,black dick,(10%) (3%),,,,
807,karim pooran,black pussy,(9%) (13%),,,,
808,katta thayoli,motherfucking asshple,(9%) (15%),,,,
809,kazhappu perutha mairan,hairy dick in a wild mood,(5%) (47%),,,,
810,Keepu,Concubine,(10%) (4%),,,,
811,Kettal,Fucking,(8%) (17%),,,,
812,kodam nakiii,ass sucker,(10%) (2%),,,,
813,Kolekkeri,Whore,(1%) (2%),,,,
814,Koothara,"Cheap, low-class, clture-less",(10%) (1%),,,,
815,Koothi,anus,(1%) (0%),,,,
816,Koothichi,Bitch,(1%) (0%),,,,
817,kotham,Ass,(1%) (0%),,,,
818,kotham kalakki,fucking hardly through anus,(10%) (3%),,,,
819,kotham nakku,lick my ass,(1%) (0%),,,,
820,Koyimani,Penis,(1%) (2%),,,,
821,kuch,fart,(6%) (44%),,,,
822,kulamavuka,damaged and widened by over fucking,(9%) (6%),,,,
823,kundan,gay,(1%) (0%),,,,
824,kundaroli poori mone,gay asshole,(0%) (100%),,,,
825,Kundi,Ass,(10%) (1%),,,,
826,Kundi mon,Son of a anas,(1%) (1%),,,,
827,Kundi oota,Asshole,(0%) (0%),,,,
828,kundimol,lady with vibrating ass,(10%) (3%),,,,
829,kunji kunnan,man with small pennise,(10%) (3%),,,,
830,kunna,penis,(10%) (2%),,,,
831,Kunna,Dick,(1%) (0%),,,,
832,kunna chappu,suck cok,(1%) (0%),,,,
833,Kunna Oli,Dick Sucker,(0%) (0%),,,,
834,Kunna paal,Sperm,(1%) (0%),,,,
835,Kunna thayoli,Motherfucking Dick,(10%) (2%),,,,
836,kunna urunji,dick sucker,(10%) (4%),,,,
837,kunnappal,sperm,(0%) (100%),,,,
838,kushukk,fart,(1%) (1%),,,,
839,Lick Me,Anea Nakaa,(0%) (0%),,,,
840,malayalam,malayalam,(1%) (1%),,,,
841,Maratel ooki,Tree fucker,(10%) (4%),,,,
842,Masa,Prostitute,(9%) (7%),,,,
843,Mattanga Poore,Pumkin Pussy,(7%) (29%),,,,
844,Mayiradi mon,Son of the wavy pubic hair,(0%) (0%),,,,
845,Mlechan,Ignorant,(0%) (0%),,,,
846,mola,boobs,(10%) (2%),,,,
847,moonchikko,do suck,(9%) (9%),,,,
848,Mula Adi,Your boobs swung,(10%) (0%),,,,
849,mula chappu,suck boobs,(1%) (0%),,,,
850,mula kashakku,squeeze boobs,(1%) (0%),,,,
851,mula mol,big boobs girl,(9%) (13%),,,,
852,Myir,Pubes,(10%) (0%),,,,
853,Myre,Pubic hair,(9%) (9%),,,,
854,Myrru,Pubic Hair,(1%) (0%),,,,
855,Naayi meedan,Dog faced bitch,(0%) (0%),,,,
856,nayinte mone,Son of a dog,(1%) (0%),,,,
857,Nayinte Mone,Son Of A Bitch,(10%) (0%),,,,
858,Nayinte Monne,Son of a Bitch,(10%) (0%),,,,
859,ninde andi maire,your dick hair,(1%) (1%),,,,
860,Ninte ama koondi ishtima,Your mom likes ass,(9%) (6%),,,,
861,Ninte ammakku vettu nayinte mone,fuck your mother you son of a bitch,(1%) (1%),,,,
862,Ninte ammaku vetu,Fuck your mom,(0%) (100%),,,,
863,ninte ammeda tar,your moms black cum,(1%) (2%),,,,
864,Ninte Ammede Kothil.,In your mothers ass hole.,(1%) (0%),,,,
865,ninte ammede pooru,your mothers pussy,(1%) (0%),,,,
866,Ninte ammede thenga mairu,your moms coconut pubes,(10%) (0%),,,,
867,ninte appante andi,your fathers dick,(10%) (1%),,,,
868,Odu myre,run pubic motherfucker,(10%) (3%),,,,
869,ookki,fucked,(10%) (5%),,,,
870,oomban,sucker,(7%) (29%),,,,
871,oombi mon,dick sucker,(1%) (1%),,,,
872,Oooomb,Fuck off,(0%) (100%),,,,
873,Ootan,To suck,(0%) (0%),,,,
874,paara pooru,less used hard pussy,(9%) (6%),,,,
875,paareel ookki,fucking the rock,(1%) (1%),,,,
876,Pacha tayolli,green motherfucker,(9%) (9%),,,,
877,Pachila Pooran,Green Leaf Pussy Man,(10%) (1%),,,,
878,Paik keriko myra,fuck that cow,(10%) (0%),,,,
879,paiku vetti,fucking the cow,(10%) (0%),,,,
880,pala thanthakkundaya thaoli,son born 2 many fathers,(10%) (1%),,,,
881,pallinedayil kanthu,clitoris sucking,(1%) (1%),,,,
882,pambara kutichi,whore,(10%) (1%),,,,
883,pampara thayoli,fucking mother and rounding,(9%) (6%),,,,
884,panchavarna kunna,a dick with 5 colors,(10%) (0%),,,,
885,pandi kallan,tamil thief,(9%) (9%),,,,
886,panniyoli,pig fucker,(9%) (9%),,,,
887,para andi oomba,other's dick sucker,(1%) (1%),,,,
888,Para kutichi,whore,(10%) (5%),,,,
889,para thayoli punda mon,worst man with puzzy,(9%) (9%),,,,
890,parii,dick,(9%) (9%),,,,
891,pathala poor,deep pussy,(0%) (100%),,,,
892,patti poori mon,a person who have pussy like dog,(0%) (0%),,,,
893,patty theettam,dog shit,(10%) (0%),,,,
894,Pela molichi,Unfair Girl,(1%) (3%),,,,
895,Pela vedi,Most Prostitute,(10%) (5%),,,,
896,pela vedi kandaroli,huge whore,(10%) (3%),,,,
897,petty,ass,(10%) (2%),,,,
898,Pezhachu Pettavan,One who was born to a slut,(0%) (100%),,,,
899,Poda Thayoli,Fuck you motherfucker,(1%) (3%),,,,
900,podda Patti,go away dog,(10%) (0%),,,,
901,pola vettu,shouting bad words,(0%) (0%),,,,
902,poochi,fuck,(0%) (100%),,,,
903,Pooranddi,Pussy+dick,(10%) (3%),,,,
904,poore ennayil tenni veetil poda,skid back home in vaginal oil,(0%) (0%),,,,
905,Poori mone,Son of big Pussy mother,(1%) (0%),,,,
906,Poorri,Girl with big puzzy,(1%) (0%),,,,
907,Pooru,pussy,(9%) (5%),,,,
908,pooru,vagina,(10%) (1%),,,,
909,Pooru Montha,Cunt Face,(0%) (0%),,,,
910,poottaavi,pussy steam,(1%) (0%),,,,
911,poottile mathycurry,fish curry inside pussy,(10%) (0%),,,,
912,poyi ninte kunna oombadaa,Go suck your dick,(0%) (100%),,,,
913,poyi oombada,go suck a dick man,(0%) (0%),,,,
914,praa thayolli,universal mother fucker,(10%) (2%),,,,
915,Puchi,Pussy,(0%) (100%),,,,
916,pudti puliyadi,half breed mongrel,(0%) (0%),,,,
917,Pulayadi monae,Son of a whoremonger,(1%) (1%),,,,
918,pundachi mone,sone of a bitch,(1%) (0%),,,,
919,Purusha Vedi,Gigalo,(1%) (1%),,,,
920,rainayude poore,BIGGEST PUSSY in the world,(9%) (6%),,,,
921,Santhosh Pandit,Idiot,(1%) (0%),,,,
922,Shukla mughan,sperm face,(10%) (5%),,,,
923,shuklam dheeni,sperm eater,(1%) (0%),,,,
924,shuklam nakki,sperm licker,(10%) (3%),,,,
925,Takkali pooru,red hot tomato like pussy,(10%) (0%),,,,
926,Thaayoli,Mother fucker,(9%) (7%),,,,
927,thabala pooran,pussy drummer,(10%) (1%),,,,
928,thakara thayoli,BIG damn mother fucker,(10%) (3%),,,,
929,Thallayoli,Mother Fucker,(1%) (0%),,,,
930,Thalleyoli,Mother fucker,(9%) (9%),,,,
931,thayolee,mother fucker,(1%) (1%),,,,
932,thayoli,mother fucker,(10%) (2%),,,,
933,Thayoli,Mother Fucker,(1%) (0%),,,,
934,thayoli idli,Tamil Motherfucker,(1%) (0%),,,,
935,Thayoli idli,Salman Khan,(10%) (1%),,,,
936,Theetam,Human feces,(10%) (1%),,,,
937,theetta moran,a man whose face like shit,(10%) (2%),,,,
938,theettam,shit,(10%) (1%),,,,
939,theettathel ookki,fuck with shit,(10%) (3%),,,,
940,THENGA MYRE,coconut like pubic hair,(0%) (0%),,,,
941,Thenga pooru,Coconut pussy,(10%) (0%),,,,
942,Thevadichi,Prostitute,(10%) (1%),,,,
943,Thokolli kalla sami,Sandeep,(1%) (5%),,,,
944,Thukal Kunna,Leather penis,(10%) (5%),,,,
945,umman,man who kiss,(10%) (5%),,,,
946,vada,navel button on woman,(9%) (9%),,,,
947,Vadam vali,English,(9%) (14%),,,,
948,vali,fart,(10%) (2%),,,,
949,Vayilitto,Suck my dick,(1%) (3%),,,,
950,vedi,prostitute,(1%) (0%),,,,
951,vedi pura,brothel,(10%) (1%),,,,
952,vedi vekkuka,fucking,(8%) (23%),,,,
953,Veppatti,Bitch / personal prostiute,(10%) (3%),,,,
954,veshya / veshi,prostitute,(1%) (0%),,,,
955,vettukili,nikhil,(7%) (31%),,,,
956,Viral Iduka,Fingering,(10%) (2%),,,,
957,vouvalinu undaya thayoli,"son of a bat , motherfucker",(10%) (2%),,,,
958,aai chi gand,Moma's ass,(1%) (0%),,,,
959,Aai ghalya,mother fucker,(0%) (0%),,,,
960,aai javada,mother fucker,(1%) (0%),,,,
961,aaichya gavat pay,leg in mothers village,(1%) (2%),,,,
962,Aandya,Penis,(1%) (3%),,,,
963,ai zawlee,fuck your mother,(1%) (0%),,,,
964,akkar mashi,pimp,(1%) (2%),,,,
965,Aye Jhaatu,You Pubic hair,(10%) (3%),,,,
966,ayica dana,mother cunt,(1%) (2%),,,,
967,Badak Zawarya,duck fucker,(9%) (7%),,,,
968,Bhadavya,pimp,(1%) (0%),,,,
969,Bhikaar Chot,You Beggar's Dick,(1%) (1%),,,,
970,Bhosada,Loose stretched well used pussy,(10%) (4%),,,,
971,Bin gotyaachya,Man without testis,(1%) (0%),,,,
972,Bulli chokya,Penis sucker,(10%) (0%),,,,
973,Chhaiyla,Mother fucker,(6%) (44%),,,,
974,Chhinal,Whore,(10%) (3%),,,,
975,Chinaal maichya,Son of whore,(10%) (0%),,,,
976,chinal,bitch,(8%) (17%),,,,
977,chut marichya,pussy fucker,(1%) (0%),,,,
978,Chut Marichya,Pussy Fucker,(10%) (2%),,,,
979,fodri pisaat,pussy maniac,(10%) (3%),,,,
980,Fodricchya,Son of a bitch,(10%) (1%),,,,
981,fokanchidy,birds hole,(9%) (10%),,,,
982,Foknicha,Son Of prostitute,(1%) (0%),,,,
983,Gand khaya,Ass eater,(10%) (5%),,,,
984,Gand phatli bhenchod,Ass teared,(10%) (0%),,,,
985,Gandit Ghuslo,fucked you in the ass (doggy style),(1%) (1%),,,,
986,Gandoo,Asshole,(1%) (0%),,,,
987,Gav Zawadi,Woman who is used by everyone,(10%) (0%),,,,
988,Hepari,Woman who gets fucked too much,(10%) (0%),,,,
989,Jhavadya,fucker,(1%) (0%),,,,
990,Kanadal,Woman who is very horny itchy Cunt,(10%) (0%),,,,
991,khargatya gandicha,unwashed ass,(10%) (2%),,,,
992,Khullya lavdyacchya,Son of a lunatic man,(10%) (0%),,,,
993,lal gandya,red ass,(10%) (5%),,,,
994,Laudu,My penis,(1%) (1%),,,,
995,Lavadya,penis,(1%) (0%),,,,
996,Lingapisat,Pussy obsessed,(10%) (5%),,,,
997,madarchod,mother fucker,(10%) (2%),,,,
998,madarchoth,fuck ur mom,(10%) (3%),,,,
999,marathi,marathi,(10%) (2%),,,,
1000,Muttha,Serial masturbator,(10%) (2%),,,,
1001,Paadar Gandichya,Farty Assed,(10%) (2%),,,,
1002,pachi bota bhundyat,all 5 fingers in ur ass,(10%) (2%),,,,
1003,phodarphatya,One with torn cunt,(10%) (3%),,,,
1004,Phodree Pisat,Pussy Crazy,(10%) (5%),,,,
1005,Pucchi Khajvya,Pussy Scratcher,(0%) (0%),,,,
1006,puchi,pussy,(10%) (4%),,,,
1007,Raandichya,You son of a whore,(10%) (1%),,,,
1008,Randechya,Son of a bitch,(0%) (0%),,,,
1009,Shanya lavdyacchya,Son of a wise man,(0%) (100%),,,,
1010,shata ki chutney,pubic hair chutney,(10%) (0%),,,,
1011,shattya,your mother's pussy,(1%) (2%),,,,
1012,Shebnya,Chut lover,(10%) (0%),,,,
1013,Telkat Randi,Oily whore,(10%) (0%),,,,
1014,tondaat gay,suck my dick,(1%) (0%),,,,
1015,tujha aila kutryawani zawin,will fuck ur mother like dog,(10%) (1%),,,,
1016,tuji ai mutli madkyat phala-phala,ur mother pissed in pot,(0%) (0%),,,,
1017,Tuji aiee chi gaand,fuk your mothers ass,(1%) (2%),,,,
1018,Tujya aaicha puchha,Your mother's pussy,(9%) (9%),,,,
1019,tuza baap dhandewala,your father prostitute,(10%) (5%),,,,
1020,tuzi aai padli madkyat,your mother farted in a bowl,(10%) (2%),,,,
1021,tuzi aai padli tuzya tondat,your mother farted in your mouth,(10%) (2%),,,,
1022,tuzua aaichi pucchi viskatli 40 ekrat,mothers pussy spread in 40 acres,(10%) (2%),,,,
1023,Tuzya aai chi Phodree,Your mothers pussy,(10%) (0%),,,,
1024,tuzya aaicha foda,your mother pussy,(10%) (1%),,,,
1025,tuzya aaicha lavda,your mother penis,(10%) (2%),,,,
1026,tuzya aaichi gand,ass of your mother,(10%) (1%),,,,
1027,tuzya aaichi pucchi,your mother's pussy,(10%) (2%),,,,
1028,tuzya aaichya gandit mungya,ants in your mother's ass,(1%) (5%),,,,
1029,tuzya aaichya pucchila chavla kutra,dog have bitten your mothers pussy,(10%) (1%),,,,
1030,tuzya aaichya pucchila chavla sap,dog have bitten your mothers pussy,(1%) (2%),,,,
1031,tuzya aaila zavla kala kutra,black dog fucked your mother,(10%) (2%),,,,
1032,Tuzya aii zavneya tuzya baapla,You mother fucked your father,(10%) (4%),,,,
1033,Tuzya bapacha pay adakla sandasat.,Your father's leg got stuck in toilet wastehole.,(10%) (1%),,,,
1034,Tuzya gaandit paay,Leg in ur ass,(10%) (3%),,,,
1035,Yadzava,Idiot fucker,(10%) (0%),,,,
1036,yadzavya,mad fucker,(10%) (3%),,,,
1037,Yeda lavdya,Crazy dick,(9%) (9%),,,,
1038,zavadya,fucker,(9%) (7%),,,,
1039,Zavkhor,One who fucks regularly,(0%) (0%),,,,
1040,zavnya,fucker,(1%) (1%),,,,
1041,ABHADRA,MANNERLESS,(10%) (3%),,,,
1042,Baanda,Penis,(1%) (0%),,,,
1043,Bada bou ghia,aunty fucker,(1%) (1%),,,,
1044,banda,penis,(10%) (0%),,,,
1045,Banda,Penis,(1%) (1%),,,,
1046,banda chhod,masturing,(10%) (3%),,,,
1047,Banda mundi,Tip of pennis,(1%) (0%),,,,
1048,BARBARA,CLUELESS,(10%) (0%),,,,
1049,Batakara (pela),balls,(10%) (3%),,,,
1050,bedha bia,fucking pussy,(10%) (3%),,,,
1051,Bedha toka,son of prostitute,(1%) (1%),,,,
1052,Bedha Toke,Bastard Girl,(1%) (1%),,,,
1053,bedhei,a prostitute,(10%) (4%),,,,
1054,Bedhei pua,Son of Prostitute.,(10%) (2%),,,,
1055,bhauni giha,sister fucker,(10%) (2%),,,,
1056,bia fata mada,fucking till satisfaction,(1%) (1%),,,,
1057,bia ku darkar jaghanya gihan,cunt need's very hard fucking,(8%) (17%),,,,
1058,Biaa,Vagina,(1%) (0%),,,,
1059,Bija,Semen,(0%) (0%),,,,
1060,Biya chudi,Vagina buster,(10%) (5%),,,,
1061,Bujula,Boobs,(8%) (21%),,,,
1062,chodipua,rascal fellow,(10%) (3%),,,,
1063,chukiba,sucking penis,(10%) (5%),,,,
1064,dana,boobs,(10%) (2%),,,,
1065,Faizan,Cunt,(10%) (0%),,,,
1066,fusa chata,ass sucker,(10%) (0%),,,,
